time,open,high,low,close,MACD,Signal,Daily Percentage Differencing
1723489140,204.7,204.71,204.65,204.685,0.028826709,0.031575542,-0.002442718
1723489200,204.68,204.68,204.58,204.58,0.017455117,0.028751457,-0.051298336
1723489260,204.59,204.65,204.57,204.6,0.009942273,0.02498962,0.009776127
1723489320,204.61,204.63,204.56,204.62,0.005538281,0.021099353,0.009775171
1723489380,204.57,204.62,204.57,204.62,0.002024746,0.017284431,0
1723489440,204.61,204.7,204.61,204.64,0.000844344,0.013996414,0.009774216
1723489500,204.65,204.65,204.62,204.64,-9.00952E-05,0.011179112,0
1723489560,204.63,204.63,204.57,204.59,-0.004809783,0.007981333,-0.024433151
1723489620,204.59,204.59,204.49,204.53,-0.013239056,0.003737255,-0.029326947
1723489680,204.52,204.56,204.46,204.46,-0.025276361,-0.002065468,-0.034224808
1723489740,204.45,204.48,204.4,204.44,-0.036014689,-0.008855312,-0.009781864
1723489800,204.43,204.59,204.43,204.58,-0.032849395,-0.013654129,0.06847975
1723489860,204.58,204.69,204.58,204.69,-0.021220182,-0.015167339,0.053768697
1723489920,204.69,204.71,204.65,204.67,-0.013462592,-0.01482639,-0.009770873
1723489980,204.65,204.65,204.55,204.57,-0.015208496,-0.014902811,-0.048859139
1723490040,204.55,204.63,204.54,204.61,-0.01321217,-0.014564683,0.019553209
1723490100,204.61,204.7,204.56,204.67,-0.006711206,-0.012993988,0.02932408
1723490160,204.66,204.68,204.63,204.63,-0.004732261,-0.011341642,-0.019543656
1723490220,204.64,204.73,204.64,204.72,0.004051611,-0.008262991,0.043981821
1723490280,204.69,204.8,204.69,204.8,0.017269156,-0.003156562,0.039077765
1723490340,204.78,204.81,204.76,204.78,0.025832542,0.002641259,-0.009765625
1723490400,204.81,204.83,204.67,204.67,0.02347243,0.006807493,-0.053716183
1723490460,204.66,204.73,204.66,204.68,0.022153569,0.009876708,0.004885914
1723490520,204.69,204.73,204.65,204.66,0.019272369,0.01175584,-0.00977135
1723490580,204.67,204.68,204.61,204.64,0.015199948,0.012444662,-0.009772305
1723490640,204.65,204.72,204.62,204.71,0.017420133,0.013439756,0.034206411
1723490700,204.7,204.76,204.7,204.75,0.022151956,0.015182196,0.019539837
1723490760,204.745,204.8,204.71,204.78,0.027999944,0.017745746,0.014652015
1723490820,204.78,204.85,204.76,204.84,0.037048938,0.021606384,0.029299736
1723490880,204.84,204.91,204.84,204.9,0.04850272,0.026985651,0.029291154
1723490940,204.89,204.93,204.73,204.76,0.045755652,0.030739652,-0.068326013
1723491000,204.77,204.82,204.75,204.76,0.04308196,0.033208113,0
1723491060,204.78,204.86,204.72,204.86,0.048473431,0.036261177,0.048837664
1723491120,204.84,204.87,204.78,204.82,0.048954232,0.038799788,-0.01952553
1723491180,204.8,204.84,204.75,204.75,0.043188999,0.03967763,-0.03417635
1723491240,204.75,204.75,204.67,204.7,0.034191292,0.038580362,-0.024420024
1723491300,204.69,204.82,204.68,204.78,0.033133929,0.037491076,0.039081583
1723491360,204.75,204.75,204.65,204.67,0.023152987,0.034623458,-0.053716183
1723491420,204.68,204.7,204.58,204.59,0.008687543,0.029436275,-0.039087311
1723491480,204.59,204.59,204.44,204.49,-0.010721994,0.021404621,-0.048878244
1723491540,204.5,204.55,204.42,204.55,-0.021020383,0.01291962,0.029341288
1723491600,204.56,204.58,204.47,204.5,-0.032837977,0.003768101,-0.024443901
1723491660,204.51,204.58,204.43,204.47,-0.044115716,-0.005808663,-0.014669927
1723491720,204.48,204.52,204.41,204.49,-0.050853367,-0.014817604,0.009781386
1723491780,204.48,204.55,204.4,204.53,-0.052361745,-0.022326432,0.019560859
1723491840,204.5,204.5,204.4,204.41,-0.062519456,-0.030365037,-0.0586711
1723491900,204.41,204.46,204.36,204.37,-0.072956188,-0.038883267,-0.019568514
1723491960,204.36,204.47,204.36,204.39,-0.078706264,-0.046847866,0.009786172
1723492020,204.39,204.46,204.35,204.43,-0.079123488,-0.053302991,0.019570429
1723492080,204.41,204.41,204.33,204.38,-0.082537285,-0.05914985,-0.02445825
1723492140,204.37,204.44,204.34,204.44,-0.079484992,-0.063216878,0.02935708
1723492200,204.4,204.53,204.33,204.42,-0.077783223,-0.066130147,-0.009782821
1723492260,204.41,204.44,204.28,204.29,-0.085933881,-0.070090894,-0.06359456
1723492320,204.29,204.29,204.16,204.24,-0.095329024,-0.07513852,-0.024475011
1723492380,204.22,204.24,204.07,204.13,-0.11037845,-0.082186506,-0.053858206
1723492440,204.14,204.31,204.13,204.26,-0.110541066,-0.087857418,0.063684907
1723492500,204.26,204.33,204.21,204.28,-0.107813303,-0.091848595,0.009791442
1723492560,204.285,204.355,204.25,204.34,-0.0996612,-0.093411116,0.029371451
1723492620,204.35,204.35,204.2,204.21,-0.102508855,-0.095230664,-0.063619458
1723492680,204.22,204.36,204.22,204.31,-0.095594524,-0.095303436,0.048969198
1723492740,204.32,204.68,204.31,204.63,-0.063560851,-0.088954919,0.156624737
1723555800,206.09,206.18,205.75,205.9,0.063571638,-0.058449607,0.620632361
1723555860,205.9,205.99,205.34,205.38,0.120970919,-0.022565502,-0.252549781
1723555920,205.45,205.84,205.3,205.7,0.190090346,0.019965667,0.155808745
1723555980,205.65,205.82,205.6,205.72,0.243672912,0.064707116,0.009722897
1723556040,205.77,205.88,205.64,205.76,0.28606754,0.108979201,0.019443904
1723556100,205.77,205.92,205.57,205.58,0.3016637,0.147516101,-0.08748056
1723556160,205.55,205.98,205.51,205.98,0.342353983,0.186483677,0.194571456
1723556220,206,206.11,205.96,206.1,0.379905014,0.225167945,0.058258083
1723556280,206.1,206.25,206.07,206.14,0.408186819,0.26177172,0.019408054
1723556340,206.14,206.24,206.02,206.07,0.420109181,0.293439212,-0.033957505
1723556400,206.1,206.3,206.1,206.3,0.443010072,0.323353384,0.111612559
1723556460,206.3,206.35,206.04,206.35,0.459892422,0.350661192,0.024236549
1723556520,206.36,206.51,206.14,206.17,0.453519421,0.371232838,-0.087230434
1723556580,206.23,206.34,206.15,206.31,0.454526107,0.387891491,0.067905127
1723556640,206.33,206.39,206.21,206.21,0.442157829,0.398744759,-0.048470748
1723556700,206.23,206.6,206.22,206.46,0.447371767,0.408470161,0.121235634
1723556760,206.46,206.69,206.46,206.57,0.455133436,0.417802816,0.053279086
1723556820,206.58,206.65,206.49,206.59,0.457623251,0.425766903,0.009681948
1723556880,206.53,206.57,206.33,206.36,0.436011303,0.427815783,-0.111331623
1723556940,206.4,206.41,206.21,206.39,0.416503238,0.425553274,0.014537701
1723557000,206.43,206.72,206.37,206.7,0.42120201,0.424683021,0.150201076
1723557060,206.64,206.82,206.64,206.71,0.420881083,0.423922634,0.004837929
1723557120,206.68,206.73,206.36,206.36,0.38791305,0.416720717,-0.169319336
1723557180,206.44,206.47,206.3,206.42,0.362449058,0.405866385,0.029075402
1723557240,206.47,206.53,206.32,206.32,0.330390955,0.390771299,-0.048444918
1723557300,206.32,206.32,205.95,206.02,0.277577445,0.368132528,-0.145405196
1723557360,206.03,206.17,205.84,206.17,0.245001875,0.343506398,0.072808465
1723557420,206.19,206.19,205.98,206.05,0.207115011,0.316228121,-0.058204394
1723557480,206.06,206.23,206.01,206.19,0.186239377,0.290230372,0.067944674
1723557540,206.16,206.27,205.98,206.03,0.154997904,0.263183878,-0.077598332
1723557600,205.96,205.97,205.71,205.72,0.104025264,0.231352156,-0.150463525
1723557660,205.71,205.84,205.71,205.76,0.066094846,0.198300694,0.019443904
1723557720,205.72,205.72,205.25,205.39,0.006108394,0.159862234,-0.179821151
1723557780,205.4,205.47,205.26,205.32,-0.046543196,0.118581148,-0.034081503
1723557840,205.35,205.44,205.15,205.19,-0.097634404,0.075338037,-0.0633158
1723557900,205.21,205.21,204.86,204.97,-0.154100344,0.029450361,-0.107217701
1723557960,205,205.17,204.9,205.14,-0.183022657,-0.013044243,0.082938967
1723558020,205.18,205.28,205.03,205.19,-0.199608257,-0.050357045,0.024373599
1723558080,205.16,205.63,205.16,205.58,-0.179216824,-0.076129001,0.190067742
1723558140,205.54,205.58,205.3,205.34,-0.180343572,-0.096971915,-0.116742874
1723558200,205.43,205.51,205.35,205.39,-0.17518255,-0.112614042,0.024349859
1723558260,205.36,205.489,205.25,205.46,-0.163558587,-0.122802951,0.034081503
1723558320,205.5,205.7,205.49,205.67,-0.135835441,-0.125409449,0.102209676
1723558380,205.7,205.71,205.51,205.51,-0.125330578,-0.125393675,-0.077794525
1723558440,205.57,205.77,205.57,205.67,-0.102908471,-0.120896634,0.077855092
1723558500,205.69,205.79,205.57,205.57,-0.092145754,-0.115146458,-0.048621578
1723558560,205.61,205.65,205.44,205.48,-0.08984282,-0.11008573,-0.043780707
1723558620,205.53,205.55,205.19,205.32,-0.09977821,-0.108024226,-0.077866459
1723558680,205.34,205.38,205.15,205.19,-0.116795644,-0.10977851,-0.0633158
1723558740,205.19,205.34,205.13,205.21,-0.127201945,-0.113263197,0.009747064
1723558800,205.2,205.33,205.13,205.17,-0.137096318,-0.118029821,-0.019492227
1723558860,205.17,205.27,205,205.01,-0.156049502,-0.125633757,-0.077984111
1723558920,205.11,205.37,205.09,205.19,-0.154761546,-0.131459315,0.087800595
1723558980,205.2,205.26,205.14,205.23,-0.148797916,-0.134927035,0.019494127
1723559040,205.23,205.24,205.09,205.15,-0.14881162,-0.137703952,-0.038980656
1723559100,205.19,205.27,205.04,205.16,-0.146328777,-0.139428917,0.004874482
1723559160,205.19,205.49,205.18,205.46,-0.118784342,-0.135300002,0.146227335
1723559220,205.47,205.53,205.46,205.5,-0.092659393,-0.12677188,0.01946851
1723559280,205.54,205.6,205.46,205.48,-0.072730622,-0.115963628,-0.00973236
1723559340,205.48,205.52,205.41,205.5,-0.054692632,-0.103709429,0.009733307
1723559400,205.49,205.49,205.08,205.16,-0.067059533,-0.09637945,-0.165450122
1723559460,205.16,205.16,204.99,205.07,-0.083163976,-0.093736355,-0.0438682
1723559520,205.01,205.1,204.99,205.01,-0.099620004,-0.094913085,-0.029258302
1723559580,205.09,205.21,204.94,205.21,-0.095423218,-0.095015111,0.097556217
1723559640,205.215,205.3,205.2,205.24,-0.08865453,-0.093742995,0.014619171
1723559700,205.28,205.3,205.18,205.26,-0.080745678,-0.091143532,0.009744689
1723559760,205.26,205.37,205.2,205.33,-0.06804506,-0.086523837,0.034103089
1723559820,205.34,205.39,205.28,205.28,-0.061307594,-0.081480589,-0.024351045
1723559880,205.29,205.29,205.09,205.1,-0.069689266,-0.079122324,-0.087685113
1723559940,205.11,205.4,205.11,205.4,-0.051530299,-0.073603919,0.146270112
1723560000,205.42,205.53,205.4,205.53,-0.026345578,-0.064152251,0.063291139
1723560060,205.54,205.6,205.43,205.6,-0.000729679,-0.051467736,0.034058288
1723560120,205.59,205.7,205.59,205.68,0.02572984,-0.036028221,0.038910506
1723560180,205.67,205.76,205.67,205.72,0.049357898,-0.018950997,0.019447686
1723560240,205.73,205.83,205.73,205.79,0.072891471,-0.000582504,0.034026833
1723560300,205.83,205.88,205.67,205.75,0.087307901,0.016995577,-0.01943729
1723560360,205.81,205.89,205.78,205.88,0.107978233,0.035192108,0.063183475
1723560420,205.88,205.99,205.88,205.94,0.127728741,0.053699435,0.02914319
1723560480,205.96,206.03,205.89,206.01,0.147331233,0.072425794,0.033990483
1723560540,206.02,206.045,205.91,205.97,0.15781944,0.089504524,-0.019416533
1723560600,206,206.015,205.8,205.84,0.153867813,0.102377181,-0.063115988
1723560660,205.85,205.85,205.71,205.73,0.140243401,0.109950425,-0.053439565
1723560720,205.74,205.75,205.67,205.68,0.123982185,0.112756777,-0.024303699
1723560780,205.67,205.85,205.67,205.85,0.123390267,0.114883475,0.082652664
1723560840,205.83,205.965,205.83,205.96,0.130295285,0.117965837,0.053436969
1723560900,205.97,206.05,205.95,206.05,0.14139984,0.122652638,0.043697805
1723560960,206.05,206.06,205.99,206.01,0.145297713,0.127181653,-0.019412764
1723561020,206.01,206.17,206.01,206.17,0.159459321,0.133637186,0.077666133
1723561080,206.16,206.2,206.03,206.09,0.16235563,0.139380875,-0.03880293
1723561140,206.09,206.19,206.07,206.19,0.17075182,0.145655064,0.04852249
1723561200,206.2,206.21,206.12,206.15,0.172193259,0.150962703,-0.019399583
1723561260,206.17,206.24,206.06,206.06,0.164180788,0.15360632,-0.043657531
1723561320,206.06,206.15,206.05,206.13,0.16161625,0.155208306,0.033970688
1723561380,206.11,206.17,206.1,206.12,0.156967495,0.155560144,-0.004851307
1723561440,206.13,206.19,206.09,206.19,0.157120551,0.155872225,0.0339608
1723561500,206.18,206.24,206.15,206.15,0.152259035,0.155149587,-0.019399583
1723561560,206.18,206.18,206.09,206.12,0.144321848,0.152984039,-0.01455251
1723561620,206.14,206.14,206.02,206.02,0.128481352,0.148083502,-0.048515428
1723561680,206.02,206.11,206.01,206.09,0.120190578,0.142504917,0.033977284
1723561740,206.1,206.1,205.91,205.91,0.097966289,0.133597192,-0.087340482
1723561800,205.94,205.97,205.82,205.95,0.082628556,0.123403464,0.019425963
1723561860,205.95,206.01,205.95,205.98,0.072063339,0.113135439,0.014566642
1723561920,206.005,206.05,205.97,205.99,0.063762234,0.103260798,0.00485484
1723561980,206.03,206.03,205.98,206.03,0.059722768,0.094553192,0.019418418
1723562040,206.03,206.09,206.03,206.06,0.058270504,0.087296655,0.014560986
