,Coin1,Coin2,24h_Score,24h_P-Value,24h_OLS-Constant,24h_OLS-Coefficient,24h_R-squared,24h_Adjusted-R-squared,,,,,,,,,,,,,,,,
3540,INJ,ORDI,-6.22,0.00,6.67,0.44,0.92,0.92,,,,,,,,,,,,,,,,
2578,ETC,RON,-5.70,0.00,13.75,4.83,0.89,0.89,,,,,,,,,,,,,,,,
1174,BGB,OM,-5.41,0.00,0.50,0.89,0.84,0.84,,,,,,,,,,,,,,,,
3346,HBAR,VET,-5.26,0.00,0.02,2.12,0.80,0.80,,,,,,,,,,,,,,,,
1178,BGB,PENDLE,-5.22,0.00,0.37,0.14,0.91,0.91,,,,,,,,,,,,,,,,
236,AKT,HBAR,-5.05,0.00,-2.12,62.38,0.83,0.83,,,,,,,,,,,,,,,,
2886,FLOKI,LEO,-5.02,0.00,0.00,0.00,0.92,0.92,,,,,,,,,,,,,,,,
2038,DOGE,FTM,-4.92,0.00,0.03,0.16,0.91,0.91,,,,,,,,,,,,,,,,
1724,CFX,FIL,-4.92,0.00,0.00,0.04,0.80,0.80,,,,,,,,,,,,,,,,
720,ATOM,MATIC,-4.88,0.00,1.51,10.00,0.92,0.92,,,,,,,,,,,,,,,,
4090,MNT,NEAR,-4.76,0.00,0.31,0.10,0.81,0.81,,,,,,,,,,,,,,,,
1652,BTT,HBAR,-4.75,0.00,0.00,0.00,0.80,0.80,,,,,,,,,,,,,,,,
1359,BONK,SOL,-4.73,0.00,0.00,0.00,0.87,0.87,,,,,,,,,,,,,,,,
2033,DOGE,FET,-4.70,0.00,0.06,0.05,0.95,0.95,,,,,,,,,,,,,,,,
1012,BCH,SHIB,-4.69,0.00,115.83,13986315.06,0.85,0.85,,,,,,,,,,,,,,,,
3583,JASMY,MOG,-4.68,0.00,0.00,21335.37,0.86,0.86,,,,,,,,,,,,,,,,
1064,BEAM,HBAR,-4.66,0.00,-0.02,0.47,0.82,0.82,,,,,,,,,,,,,,,,
4840,THETA,XEC,-4.55,0.00,-0.69,56092.54,0.90,0.90,,,,,,,,,,,,,,,,
4564,PYTH,VET,-4.54,0.00,-0.39,25.28,0.81,0.81,,,,,,,,,,,,,,,,
3377,HNT,OP,-4.53,0.00,-1.63,2.51,0.86,0.86,,,,,,,,,,,,,,,,
1702,BTT,VET,-4.48,0.00,0.00,0.00,0.89,0.89,,,,,,,,,,,,,,,,
224,AKT,ETC,-4.47,0.00,-3.04,0.25,0.85,0.85,,,,,,,,,,,,,,,,
2541,ETC,FLR,-4.44,0.00,11.27,534.14,0.82,0.82,,,,,,,,,,,,,,,,
3175,GALA,XEC,-4.43,0.00,-0.01,1046.84,0.89,0.89,,,,,,,,,,,,,,,,
1353,BONK,RNDR,-4.42,0.00,0.00,0.00,0.86,0.86,,,,,,,,,,,,,,,,
982,BCH,JUP,-4.42,0.00,221.99,227.58,0.88,0.88,,,,,,,,,,,,,,,,
3594,JASMY,PEPE,-4.41,0.00,0.00,2129.24,0.87,0.87,,,,,,,,,,,,,,,,
2585,ETC,STX,-4.41,0.00,13.83,6.00,0.86,0.86,,,,,,,,,,,,,,,,
1052,BEAM,ETC,-4.40,0.00,-0.03,0.00,0.89,0.89,,,,,,,,,,,,,,,,
4047,MKR,MNT,-4.39,0.00,310.78,2395.78,0.83,0.83,,,,,,,,,,,,,,,,
2806,FIL,FLOW,-4.39,0.00,0.16,6.80,0.95,0.95,,,,,,,,,,,,,,,,
2783,FET,SHIB,-4.38,0.00,-0.46,105936.11,0.94,0.94,,,,,,,,,,,,,,,,
3266,GT,PENDLE,-4.35,0.00,3.50,0.78,0.81,0.80,,,,,,,,,,,,,,,,
4431,OP,SEI,-4.34,0.00,1.09,3.10,0.86,0.86,,,,,,,,,,,,,,,,
484,APT,XTZ,-4.32,0.00,-2.90,12.33,0.88,0.88,,,,,,,,,,,,,,,,
3539,INJ,OP,-4.30,0.00,-5.20,11.97,0.86,0.86,,,,,,,,,,,,,,,,
2544,ETC,GRT,-4.28,0.00,11.56,58.74,0.88,0.88,,,,,,,,,,,,,,,,
2763,FET,MNT,-4.26,0.00,-0.99,2.98,0.83,0.83,,,,,,,,,,,,,,,,
1546,BSV,XTZ,-4.25,0.00,-29.83,96.53,0.85,0.85,,,,,,,,,,,,,,,,
3395,HNT,TIA,-4.24,0.00,1.30,0.37,0.87,0.87,,,,,,,,,,,,,,,,
