date,BTCUSDT,ETHUSDT
1/1/2023 0:00,16544.19,1196.61
1/1/2023 0:30,16529.67,1194.09
1/1/2023 1:00,16534.6,1195.45
1/1/2023 1:30,16551.47,1196.02
1/1/2023 2:00,16552.89,1196.12
1/1/2023 2:30,16548.19,1195.4
1/1/2023 3:00,16529.89,1193.38
1/1/2023 3:30,16533.04,1194.04
1/1/2023 4:00,16518.59,1192.18
1/1/2023 4:30,16521.85,1192.92
1/1/2023 5:00,16521.07,1194.18
1/1/2023 5:30,16530.71,1194.54
1/1/2023 6:00,16544.63,1194.6
1/1/2023 6:30,16539.79,1194.81
1/1/2023 7:00,16522.78,1194.6
1/1/2023 7:30,16526.19,1195.06
1/1/2023 8:00,16523.23,1195.28
1/1/2023 8:30,16513.34,1194.28
1/1/2023 9:00,16514.23,1194.76
1/1/2023 9:30,16537.88,1196.48
1/1/2023 10:00,16544.07,1196.21
1/1/2023 10:30,16548.34,1197.14
1/1/2023 11:00,16544.56,1196.16
1/1/2023 11:30,16556.66,1196.34
1/1/2023 12:00,16564.27,1197.88
1/1/2023 12:30,16560.93,1197.17
1/1/2023 13:00,16550.92,1196.06
1/1/2023 13:30,16548.04,1195.26
1/1/2023 14:00,16556.53,1195.59
1/1/2023 14:30,16542.94,1194.5
1/1/2023 15:00,16542.89,1195.21
1/1/2023 15:30,16558.73,1196.81
1/1/2023 16:00,16577.68,1197.7
1/1/2023 16:30,16565.14,1197.34
1/1/2023 17:00,16582.65,1200.88
1/1/2023 17:30,16578.85,1200.68
1/1/2023 18:00,16594.11,1201.56
1/1/2023 18:30,16591.88,1200.92
1/1/2023 19:00,16618.35,1203.62
1/1/2023 19:30,16603.08,1201.78
1/1/2023 20:00,16616.08,1202.98
1/1/2023 20:30,16604.51,1201.4
1/1/2023 21:00,16601.35,1202.12
1/1/2023 21:30,16606.68,1202.85
1/1/2023 22:00,16595.55,1202.29
1/1/2023 22:30,16602.12,1201.03
1/1/2023 23:00,16608.6,1200.17
1/1/2023 23:30,16616.75,1200.34
1/2/2023 0:00,16588.45,1198.17
1/2/2023 0:30,16588.35,1198.16
1/2/2023 1:00,16568.83,1196.09
1/2/2023 1:30,16565.04,1195.16
1/2/2023 2:00,16577.35,1196.2
1/2/2023 2:30,16587.85,1196.79
1/2/2023 3:00,16584.06,1196.91
1/2/2023 3:30,16661.94,1201.94
1/2/2023 4:00,16640.79,1200.84
1/2/2023 4:30,16639.44,1201.85
1/2/2023 5:00,16634.53,1201.9
1/2/2023 5:30,16647.58,1202.35
1/2/2023 6:00,16647.91,1202.58
1/2/2023 6:30,16641.1,1201.58
1/2/2023 7:00,16735.58,1212.95
1/2/2023 7:30,16721.28,1213.09
1/2/2023 8:00,16738.48,1215.24
1/2/2023 8:30,16733.71,1215.94
1/2/2023 9:00,16723.37,1217.1
1/2/2023 9:30,16717.5,1217.18
1/2/2023 10:00,16732.41,1218.35
1/2/2023 10:30,16727.95,1217.75
1/2/2023 11:00,16718.59,1215.94
1/2/2023 11:30,16735.11,1217.35
1/2/2023 12:00,16737.28,1217.7
1/2/2023 12:30,16721.54,1216.62
1/2/2023 13:00,16718.34,1216.3
1/2/2023 13:30,16694.78,1214.95
1/2/2023 14:00,16690.42,1215.75
1/2/2023 14:30,16698.69,1216.78
1/2/2023 15:00,16717.14,1218.45
1/2/2023 15:30,16734.66,1219
1/2/2023 16:00,16731.9,1218.23
1/2/2023 16:30,16710.88,1216.51
1/2/2023 17:00,16718.26,1216.93
1/2/2023 17:30,16715.42,1217.08
1/2/2023 18:00,16711.8,1217.85
1/2/2023 18:30,16723.81,1218.03
1/2/2023 19:00,16717.02,1217.38
1/2/2023 19:30,16737.56,1218.87
1/2/2023 20:00,16729.44,1218.19
1/2/2023 20:30,16728.52,1218.4
1/2/2023 21:00,16727.83,1218.45
1/2/2023 21:30,16757.76,1219.79
1/2/2023 22:00,16725.97,1217.18
1/2/2023 22:30,16698.4,1215.11
1/2/2023 23:00,16710.46,1215.69
1/2/2023 23:30,16672.87,1214
1/3/2023 0:00,16682.79,1214.32
