date,BTCUSDT,ETHUSDT,BNBUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,ADAUSDT,TRXUSDT,AVAXUSDT,SHIBUSDT,DOTUSDT,LINKUSDT,BCHUSDT,NEARUSDT,DAIUSDT,LTCUSDT,MATICUSDT,PEPEUSDT,ICPUSDT,UNIUSDT,ETCUSDT,APTUSDT,FETUSDT,XLMUSDT,XMRUSDT,STXUSDT,WIFUSDT,MKRUSDT,FILUSDT,HBARUSDT,TAOUSDT,ARBUSDT,ATOMUSDT,IMXUSDT,INJUSDT,VETUSDT,FDUSDUSDT,ARUSDT,OPUSDT,SUIUSDT,BONKUSDT,GRTUSDT,FLOKIUSDT,RUNEUSDT,THETAUSDT,NOTUSDT,AAVEUSDT,PYTHUSDT,JASMYUSDT,LDOUSDT,JUPUSDT,FTMUSDT,TIAUSDT,SEIUSDT,ALGOUSDT,OMUSDT,FLOWUSDT,EGLDUSDT,QNTUSDT,ENSUSDT,HNTUSDT,BEAMUSDT,AXSUSDT,EOSUSDT,BTTUSDT,NEOUSDT,ORDIUSDT,DYDXUSDT,STRKUSDT,GALAUSDT,XTZUSDT,ENAUSDT,SANDUSDT,XECUSDT,1000SATSUSDT,NEXOUSDT,CFXUSDT,WLDUSDT,MANAUSDT,CHZUSDT,PENDLEUSDT,RAYUSDT,ZKUSDT,ROSEUSDT,GNOUSDT,MINAUSDT,BOMEUSDT,SNXUSDT,IOTAUSDT,CKBUSDT,DEXEUSDT,KLAYUSDT,ASTRUSDT,ZECUSDT,WUSDT,ZROUSDT,TUSDUSDT,LPTUSDT,AXLUSDT,BNXUSDT,1INCHUSDT,APEUSDT,LUNCUSDT,FTTUSDT,CAKEUSDT,PAXGUSDT,TFUELUSDT,BTGUSDT,KAVAUSDT,COMPUSDT,TWTUSDT,IOTXUSDT,AEVOUSDT,PEOPLEUSDT,GALUSDT,SFPUSDT,WOOUSDT,SUPERUSDT,ANTUSDT,MANTAUSDT,MEMEUSDT,JTOUSDT,GMTUSDT,RPLUSDT,GLMUSDT,OSMOUSDT,BLURUSDT,LUNAUSDT,KSMUSDT,ILVUSDT,DASHUSDT,ZILUSDT,DYMUSDT,CRVUSDT,ENJUSDT,ZRXUSDT,SCUSDT,SSVUSDT,IDUSDT,CELOUSDT,ANKRUSDT,HOTUSDT,JSTUSDT,ARKMUSDT,ELFUSDT,CVXUSDT,GMXUSDT,BATUSDT,RVNUSDT,QTUMUSDT,METISUSDT,RSRUSDT,IOUSDT,SKLUSDT,GASUSDT,ETHFIUSDT,FLUXUSDT,MASKUSDT,BICOUSDT,POLYXUSDT,TRIBEUSDT,TUSDT,LRCUSDT,EDUUSDT,VTHOUSDT,ACHUSDT,DCRUSDT,BANDUSDT,ONEUSDT,COTIUSDT,YFIUSDT,UMAUSDT,TRBUSDT,CHRUSDT,VANRYUSDT,SUSHIUSDT,ZENUSDT,AMPUSDT,FXSUSDT,GLMRUSDT,ONTUSDT,AUDIOUSDT,BBUSDT,YGGUSDT,KDAUSDT,API3USDT,ICXUSDT,NTRNUSDT,XEMUSDT,SXPUSDT,TRUUSDT,PIXELUSDT,ALTUSDT,BALUSDT,STORJUSDT,LSKUSDT,PONDUSDT,ONGUSDT,JOEUSDT
1/1/2020,7200.85,130.77,13.7184,3.2985,0.19305,0.0020245,0.03348,0.01322,5.3193,0.00003466,3.1,1.8111,204.44,1.1685,1.0341,41.62,0.01496,0.00000373,364.01,3.4617,4.5035,7.3207,0.03832,0.04529,45.82,0.0989,1.547,529.32,62.5418,0.01035,623.4,1.3217,4.38,3.784,0.7803,0.005358,1.0008,29.212,1.232,1.4016,0.00002373,0.12275,0.00004785,0.8183,0.08656,0.007619,42.999,0.481,0.2366,2,0.6617,0.01058,2.278,0.1789,0.2201,0.4335,23.9,17.752,134.1,73.82,2.29,0.5442,0.14583,2.6039,0.0002845,8.85,13.602,12.971,1.965,0.04721,1.37,0.775,0.065997,0.00032202,0.0005518,2.344,1.379,2.161,0.05822,0.006923,0.854,4.201,0.213,0.03777,309,3.237,0.02079,2.956,0.1606,0.005781,7.165,1.0157,0.1318,28.07,1.31,3.432,1.0031,27.13,1.9738,131.4,2.2954,8.5192,0.00042974,2.144,18.934,1977.99,0.002383,114.784,1.1364,228,0.431,0.003457,3.25,0.1681,17.38,1.29,0.7626,2.728,6.6554,2.17085,0.026208,2.3936,0.13262,31.48,0.2599,1.646,0.6484,0.4314,42.167,546.1,41.84,0.00454,4.924,6.91,0.07963,0.1825,0.003006,37.85,0.4065,2.5765,0.001439,0.0006275,0.06895,0.6579,0.816,44.49,50.93,0.1962,0.0227,1.603,133.78,0.024,4.169,0.07223,3.759,3.12,1.826,8.013,6.066,0.3326,0.8668,0.125,0.104,1.37239,0.001575,0.08117,15.665,0.237,0.00466,0.0209,6229.19,16.131,74.989,0.02393,0.0678,8.804,7.058,0.07056,19.576,11.9991,0.5275,0.19226,0.4495,7.049,6.523,4.67,0.1146,0.3823,0.1657,1.655,0.2751,0.5475,0.32267,20.373,0.1932,1.3649,0.1652,0.0956,2.364
1/2/2020,6965.71,127.19,13.0105,3.7558,0.1875,0.0019951,0.03269,0.01284,3.535,0.00003042,2.95,1.7366,195.49,1.1209,1.0369,39.43,0.01467,0.00000263,258.02,6.9,4.2283,7.3685,0.03642,0.04361,45.5,0.0897,1.845,514,44.348,0.01001,537.5,1.2727,4.096,3.597,0.7844,0.005094,1.0007,26.622,1.546,1.3303,0.00002176,0.26122,0.00003999,0.6371,0.08443,0.00698,39.461,0.4719,0.201,2.009,0.6024,0.01025,2.5488,0.2148,0.2139,0.4015,24.36,17.583,129.8,55.31,1.872,0.5199,0.1345,2.4593,0.0002734,8.462,12.559,10.425,1.892,0.04389,1.2428,1.134,0.051101,0.00033042,0.0005108,2.333,1.281,2.257,0.07484,0.006719,0.9465,4.199,0.2202,0.03573,282.2,2.91,0.018439,2.921,0.1584,0.00511,19.514,0.931,0.1226,27.02,1.075,3.04,1.0031,23.19,1.9612,114.1,1.5967,13.08,0.00043658,2.142,14.673,1964.34,0.002297,106.764,1.0172,261.73,0.3012,0.003358,3.04,0.1575,13.1,3.4637,0.7329,3.113,6.1723,2.31273,0.02508,3.5794,0.11677,32.49,0.2495,1.524,0.602,0.4712,32.49,579.2,40.04,0.00438,5.722,5.782,0.07371,0.1752,0.003083,40,0.52883,2.302,0.001397,0.0006035,0.07666,0.6164,0.8958,40.17,44.22,0.1827,0.02299,1.533,131.36,0.02591,5.682,0.08148,3.553,3.021,1.879,8.03,5.12,0.2567,0.849,0.1398,0.10227,1.40826,0.001459,0.0649,15.298,0.2189,0.0047,0.02028,6040.2,16.895,71.8,0.02382,0.06597,7.245,6.84,0.05963,19.55,8.9508,0.5037,0.23827,0.3702,5.787,6.674,4.835,0.1096,0.3142,0.1831,1.655,0.271,0.516,0.36198,22.397,0.1859,1.4841,0.1426,0.095,2.262
1/3/2020,7344.96,134.35,13.6474,3.73,0.19338,0.0020236,0.03417,0.01344,4.6411,0.00001821,2.9,1.804,222.43,0.8171,1.0028,42.23,0.01512,0.00000279,301.44,5.7244,4.5768,7.498,0.03906,0.04566,50.93,0.0945,1.7082,525.43,42.24,0.01035,509.2,1.2178,4.237,3.725,1.1838,0.005327,1.0005,23.895,1.362,1.3064,0.00002284,0.47749,0.00003923,0.781,0.08771,0.006623,41.365,0.4839,0.1876,1.523,0.6171,0.01035,2.3988,0.1717,0.2272,0.3466,21.09,12.321,135,54.65,1.772,0.5381,0.144,2.6396,0.0002859,8.888,19.243,10.933,1.93,0.05141,1.2785,0.97,0.060852,0.00030531,0.000755,2.267,1.117,2.25,0.10281,0.007151,0.8801,4.505,0.2242,0.03791,294.2,2.852,0.010629,2.809,0.1664,0.005262,17.352,0.9341,0.1169,28.41,0.971,3.088,1.0009,23.41,2.3685,136,1.0612,11.7213,0.0004324,2.204,16.645,1982.1,0.002403,93.016,1.0241,231,0.288,0.00341,2.75,0.1468,10.362,2.4788,0.6637,3.447,5.995,2.26725,0.019846,3.3499,0.15958,37.52,0.2516,1.529,0.5642,0.4821,38.037,509.4,43.92,0.00454,7.268,4.38,0.078,0.1821,0.003925,44.82,0.5295,2.2091,0.001407,0.0006794,0.06955,0.5912,0.818,42.85,43.12,0.1865,0.023,1.629,133.52,0.02443,4.955,0.0989,3.643,4.207,1.85,7.768,5.559,0.2109,0.8797,0.1711,0.093,1.36102,0.00141,0.06075,17.177,0.2318,0.00478,0.0194,5749.62,17.723,68.369,0.02322,0.06281,4.86,6.931,0.06128,18.546,11.574,0.5278,0.18508,0.4205,5.119,6.222,4.378,0.1142,0.3092,0.159,1.536,0.2315,0.5189,0.40424,21.345,0.1872,1.7697,0.1477,0.0995,2.069
1/4/2020,7354.11,134.2,13.8092,3.4099,0.19305,0.0020579,0.03434,0.01344,4.7134,0.00002102,2.833,1.8242,224.47,0.8073,1.0107,42.78,0.01484,0.00000194,304.13,5.223,4.7598,8.9553,0.04027,0.04565,50.37,0.0944,2.1575,521.46,32.4049,0.01111,586.5,1.2818,4.25,3.505,0.9466,0.00562,1.0007,22.678,1.393,1.3297,0.00002087,0.73826,0.0000344,0.7221,0.09394,0.005556,40.75,0.4737,0.2055,1.404,0.5649,0.01068,2.3907,0.1672,0.2352,0.38,22.15,13.368,175.3,55.57,1.527,0.5235,0.14076,2.6481,0.000287,9.077,19.85,11.303,1.927,0.10014,1.2557,1.018,0.053812,0.00029045,0.0007288,2.208,1.023,2.096,0.09972,0.00768,0.8631,5.091,0.1983,0.04162,307.4,3.147,0.011267,2.78,0.1734,0.005237,13.341,0.9933,0.1173,29.91,1.057,2.808,1.0013,24.04,2.1915,148.5,1.114,9.6302,0.00029932,2.164,15.027,1971.48,0.002429,86.875,1.0401,245.45,0.298,0.003543,2.87,0.1482,9.989,2.6771,0.58,3.342,6.1129,2.67282,0.021001,3.455,0.28472,34.87,0.2469,1.589,0.518,0.5315,35.203,517.2,46.19,0.00461,7.317,3.6,0.0772,0.1864,0.003567,48.97,0.47433,2.2961,0.001417,0.0006796,0.07166,0.6298,0.8033,41.41,44.46,0.1883,0.02291,1.642,126.5,0.02719,5.128,0.148,3.397,3.815,1.417,7.202,5.273,0.2042,0.8649,0.1733,0.09194,1.24982,0.001306,0.05779,15.692,0.2308,0.00475,0.01884,5346.99,18.578,60.222,0.01916,0.06237,4.562,7.462,0.05715,17.575,13.3751,0.5316,0.16585,0.3289,5.228,6.361,3.92,0.1139,0.3184,0.1745,1.632,0.2373,0.5232,0.39552,21.542,0.1878,2.0314,0.1361,0.0981,2.105
1/5/2020,7358.75,135.37,14.0532,3.173,0.19453,0.0020696,0.0346,0.01353,4.52,0.0000184,4.4546,1.7957,222.79,0.8692,1.0127,43.3,0.01483,0.00000201,246.06,4.2471,4.8784,9.7815,0.03847,0.04544,53.69,0.092,2.168,509.07,33.9755,0.01157,524.9,1.1657,4.2,3.562,0.9033,0.005465,1.0008,22.543,1.165,1.2431,0.00001898,0.47195,0.00003587,0.6969,0.09421,0.005699,35.98,0.4867,0.1721,1.497,0.5305,0.01051,2.4318,0.1599,0.2294,0.3789,20.84,13.219,156.9,56.21,1.653,0.5798,0.19846,2.6865,0.0002881,9.02,18.876,10.4,1.895,0.1167,1.2545,1.089,0.051631,0.0002454,0.0007734,2.026,1.128,2.219,0.10139,0.007869,0.9159,4.974,0.1822,0.04704,310.7,2.979,0.012,2.541,0.1718,0.005472,15.166,1.0028,0.1045,30.81,1.008,2.842,1.0009,25.29,2.0724,144.6,0.8845,10.5042,0.00035752,2.139,12.744,1981.25,0.002412,94.794,1.031,233.44,0.2907,0.003565,2.79,0.1479,6.93,2.732,0.5699,3.689,6.157,2.43525,0.017777,3.0028,0.39885,34.18,0.2467,1.549,0.5319,0.4619,31.337,517.6,51.17,0.00463,7.453,3.919,0.07637,0.1861,0.003381,41.91,0.48751,2.2937,0.00141,0.0006708,0.07104,0.6206,0.8109,49.14,45.21,0.1874,0.02326,1.631,113.97,0.02841,5.268,0.139,3.439,3.69,1.419,6.973,4.4,0.2027,0.834,0.1816,0.09199,1.24248,0.001295,0.05947,16.754,0.2321,0.00466,0.01906,5016.14,17.186,59.371,0.01847,0.06201,1.884,7.355,0.06167,17.275,12.6221,0.5483,0.15999,0.3385,5.375,6.007,3.803,0.1135,0.3099,0.1818,2.033,0.2263,0.501,0.44715,19.519,0.1871,2.0799,0.1474,0.0998,2.068
1/6/2020,7758,144.15,14.9471,3.3885,0.2231,0.0021344,0.03732,0.01472,4.6484,0.00001553,3.9779,1.9374,244.25,0.7993,1.0217,45.8,0.01554,0.00000193,225.19,3.9105,5.0333,9.5293,0.03949,0.05046,58.91,0.0961,2.1353,516.68,31.175,0.01103,500.8,1.2204,4.111,3.621,0.8218,0.00573,1,16.479,1.321,1.1374,0.0000189,0.54572,0.00003776,0.7274,0.09987,0.005644,32.16,0.4807,0.1764,1.488,0.541,0.01076,2.309,0.1517,0.2427,0.4286,22.3,14.027,166.5,55.77,1.637,0.61,0.27978,2.8506,0.0003096,9.757,21.751,11.699,1.948,0.11561,1.3047,1.19,0.051942,0.00025687,0.0007344,2.189,1.029,2.347,0.09057,0.007613,0.884,5.816,0.1818,0.04191,302.5,3.142,0.01383,2.747,0.1826,0.005313,13.725,1.0301,0.1046,32.86,0.992,2.768,1,27.69,2.1981,144.5,1.0934,12.217,0.00029967,2.183,14.16,1957.64,0.002461,85.052,1.0529,216.66,0.3018,0.003767,2.35,0.1251,6.205,2.62,0.5341,4.207,5.73,2.62945,0.018144,2.9607,0.35948,36.63,0.236,1.482,0.5038,0.498,33.806,499.7,56.57,0.00489,7.104,3.89,0.07578,0.1958,0.003523,42.77,0.45341,2.14,0.00144,0.000703,0.07374,0.594,0.7213,44.9,41.45,0.1915,0.0241,1.747,103.78,0.02741,5.33,0.11542,3.351,4.227,1.756,6.992,4.149,0.1903,0.7949,0.1898,0.08951,1.1768,0.001485,0.05796,16.325,0.2398,0.00476,0.02432,5414.22,17.261,43.052,0.01829,0.06005,3.171,7.242,0.06358,16.916,10.3916,0.5831,0.1153,0.3517,5.562,6.323,3.77,0.1248,0.302,0.1787,1.996,0.2514,0.52,0.41672,19.62,0.1899,2.0485,0.1823,0.1024,1.956
1/7/2020,8145.28,142.8,15.0226,3.11,0.21335,0.002175,0.037,0.01434,4.2021,0.00001784,4.5759,2.1033,242.3,0.6757,1.0293,46.3,0.01509,0.0000014,195.59,4.38,4.8344,8.7863,0.0372,0.04839,58.36,0.0967,2.1086,544.84,26.5028,0.0106,455,1.2257,4.075,4.158,0.781,0.005578,1.001,18.755,1.108,1.1842,0.00002068,0.41158,0.00003549,0.7229,0.09608,0.005316,35.073,0.4963,0.1695,1.468,0.5319,0.01035,2.3652,0.1488,0.2303,0.736,22.32,15.084,178.1,48.17,1.569,0.5606,0.26968,2.8459,0.0002916,9.801,19.792,11.599,1.971,0.1101,1.2929,1.293,0.053483,0.00025125,0.00068,2.019,1.138,2.288,0.09839,0.007514,0.8753,6.25,0.1679,0.03908,308.7,3.368,0.014642,3.05,0.1857,0.005675,12.601,1.0241,0.0999,32.24,0.846,2.542,0.9995,30.9,2.2174,164.6,1.3637,13.312,0.00025909,2.166,11.652,1925,0.002382,73.167,1.0881,201.09,0.3266,0.003841,2.13,0.1136,3.664,2.9044,0.5685,3.503,5.2541,3.2468,0.019431,2.836,0.33128,36.6,0.2417,1.516,0.4929,0.5046,33.102,463,54.62,0.00481,7.144,3.23,0.073,0.1878,0.003481,41.03,0.46414,1.9482,0.001384,0.0006815,0.07417,0.5305,0.7194,43.71,38.32,0.1922,0.02471,1.735,105.06,0.02722,4.258,0.11921,3.478,3.979,1.725,7,4.106,0.1915,0.7688,0.1692,0.09119,1.28058,0.001817,0.05751,16.759,0.2298,0.00455,0.03092,6660,16.007,45.419,0.01924,0.06297,2.85,7.214,0.06234,16.426,10.0361,0.5636,0.10044,0.3173,6.191,6.17,3.966,0.1201,0.3067,0.1892,1.902,0.2381,0.5646,0.35662,19.72,0.1974,1.9664,0.1688,0.0997,1.768
1/8/2020,8055.98,140.72,14.5334,3.3407,0.2075,0.0020886,0.03631,0.01402,4.1394,0.00001651,5.5412,2.1892,240.19,0.7044,1.03,45.35,0.01499,0.00000175,163.47,5.164,4.9521,9.1951,0.03686,0.04768,59.44,0.0914,2.1639,572.22,23.739,0.01022,466.2,1.3796,3.995,3.764,0.6776,0.005492,1.0005,15.376,0.73,1.1787,0.00001934,0.41046,0.00003634,0.7486,0.09873,0.004885,37.836,0.5087,0.1679,1.432,0.5545,0.01013,2.3368,0.1543,0.2284,0.7217,22.42,13.939,173.1,48.16,1.539,0.5322,0.354,2.7751,0.0002941,9.448,21.973,15.387,1.913,0.0903,1.3307,1.241,0.04425,0.00023493,0.0006943,1.886,1.222,2.316,0.09225,0.007105,0.8111,6.883,0.1696,0.03574,314.1,3.198,0.013903,3.097,0.1811,0.006045,12.601,0.9745,0.1006,30.88,0.838,2.548,1.0008,28.05,2.1293,166.1,1.155,12.9032,0.00030412,2.176,11.283,1930.13,0.002511,83.7,1.07,180.01,0.3696,0.003642,2.59,0.1242,4.863,2.74,0.5997,3.288,5.3627,2.97699,0.021021,3.4552,0.55492,40.26,0.2341,1.633,0.5052,0.5662,31.769,470,52.42,0.00469,7.014,3.057,0.0754,0.2133,0.003348,39.76,0.46584,1.957,0.001377,0.0006721,0.0675,0.5137,0.7529,42.8,38.66,0.1828,0.02417,1.683,94.77,0.01977,3.813,0.12343,3.488,4.458,1.598,6.692,3.92,0.1815,0.7856,0.1554,0.09378,1.18559,0.00215,0.05397,16.613,0.227,0.0046,0.02709,8900,14.179,30.78,0.01836,0.0625,2.374,7.505,0.06079,15.375,9.2303,0.5538,0.12119,0.3585,7.942,6.297,3.757,0.1171,0.2867,0.1899,1.512,0.2361,0.5694,0.34485,20.181,0.1976,1.7889,0.1655,0.1016,1.808
1/9/2020,7817.76,137.74,14.3978,2.8868,0.20373,0.0021282,0.03616,0.01398,4.3293,0.0000156,6.0708,2.1886,238.01,0.7484,1.0201,44.74,0.01459,0.00000187,122.79,4.9145,5.1848,8.7013,0.0374,0.04718,58.68,0.0912,2.645,555.17,23.8771,0.01009,442,1.3897,4.245,3.73,0.7977,0.005319,1.0011,14.264,0.824,1.0736,0.00001986,0.35847,0.00003586,0.7998,0.09294,0.004845,41.681,0.5342,0.166,1.533,0.5099,0.01009,2.3693,0.1525,0.2222,0.583,22.67,14.308,162.3,41.31,1.536,0.5247,0.31331,2.7432,0.0002876,9.387,24.688,16.499,1.839,0.09919,1.2811,1.461,0.045973,0.0002201,0.000705,1.894,1.142,2.43,0.09529,0.006938,0.7686,7.627,0.1692,0.0366,261.6,3.087,0.014206,3.308,0.177,0.00638,12.965,0.9784,0.0999,30.83,0.779,2.514,1.0006,27.33,2.2711,167.2,1.025,12.3861,0.00030879,2.161,10.652,1938,0.002395,77.091,1.0261,171.91,0.413,0.003468,2.5,0.1177,6.911,2.876,0.5928,3.152,4.9037,3.48201,0.02223,2.8381,0.83862,38.84,0.234,1.639,0.555,0.538,35.159,499.1,50.54,0.00459,8.28,2.695,0.07193,0.2058,0.003329,38.42,0.48088,2.0711,0.001321,0.000671,0.06004,0.536,0.7745,48.85,38.66,0.1851,0.02335,1.634,89.77,0.02002,3.84,0.13765,3.368,5.468,1.6,6.267,3.591,0.183,0.8032,0.1572,0.09018,1.0848,0.002102,0.05195,16.022,0.232,0.00458,0.03395,9655,12.99,38.404,0.01795,0.06057,2.88,7.189,0.05993,14.001,10.1362,0.5387,0.11159,0.3407,7.788,6.291,3.7,0.1167,0.2651,0.2014,1.613,0.216,0.5607,0.34864,17.894,0.195,1.91,0.1726,0.0991,1.673
1/10/2020,8197.02,144.84,15.07,3.2038,0.21284,0.0021973,0.03693,0.01469,4.15,0.00000907,5.6547,2.2257,271.83,0.7271,1.0185,49.06,0.01486,0.00000178,164.15,4.8684,5.36,8.1845,0.03619,0.04802,58.42,0.0913,3.1568,594.69,25.8076,0.01052,485.1,1.2931,4.27,3.562,0.7255,0.005454,1.0013,13.28,0.879,1.1152,0.00001815,0.4848,0.00003592,0.7064,0.09509,0.00533,39.437,0.5656,0.1673,1.36,0.5096,0.01032,2.457,0.1479,0.226,0.5477,21.46,13.917,155.5,47.84,1.449,0.5354,0.394,2.9866,0.0002976,9.862,24.165,16.08,1.747,0.10786,1.3064,1.372,0.043611,0.0002156,0.0007106,1.872,1.129,2.36,0.09888,0.006829,0.7911,7.47,0.1588,0.03763,266.8,3.25,0.014095,3.371,0.1902,0.006202,11.828,1.0084,0.1048,33.69,0.604,2.781,1.0005,25.58,2.1975,194.4,1.108,13.8287,0.00027225,2.228,9.379,1933,0.002402,74.364,1.05,180.42,0.4634,0.003652,2.4,0.1249,6.85,3.2424,0.5263,2.725,5.3537,3.60673,0.021675,2.9249,0.69968,39.54,0.2372,1.55,0.5399,0.5326,39.328,546.2,56.88,0.00469,7.782,2.897,0.073,0.2026,0.003475,38.72,0.4796,2.0974,0.001329,0.0006865,0.06098,0.556,1.0007,49.9,37.98,0.1876,0.024,1.734,104.57,0.0163,3.989,0.12436,3.44,7.92,1.573,6.889,3.659,0.1839,0.8006,0.145,0.0908,1.04891,0.001994,0.05119,16.243,0.2329,0.00463,0.03439,12599.72,11.764,37.849,0.0188,0.05723,2.381,7.462,0.05737,14.414,9.7728,0.5665,0.10093,0.3718,7.687,6.097,3.644,0.1188,0.2606,0.2188,1.567,0.2271,0.5096,0.3247,22.785,0.2025,1.8189,0.1714,0.0996,1.619
