date,AM,APA,AR,BKR,CHK,CHRD,COP,CQP,CTRA,CVX,DINO,DTM,DVN,EOG,EPD,EQT,ET,FANG,FTI,HAL,HESM,HES,IEP,KMI,LNG,MPC,MPLX,MRO,MTDR,NOV,OKE,OVV,OXY,PAA,PR,PSX,RRC,SLB,SUN,SWN,TPL,TRGP,VLO,VNOM,WES,WFRD,WMB,XOM
3/31/2023,10.49,36.06,23.09,28.86,76.04,134.6,99.21,47.32,24.54,163.16,48.38,49.37,50.61,114.63,25.9,31.91,12.47,135.17,13.65,31.64,28.94,132.34,51.71,17.51,157.6,134.83,34.45,23.96,47.65,18.51,63.54,36.08,62.43,12.47,10.5,101.38,26.47,49.1,43.89,5,1701.02,72.95,139.6,28,26.37,59.35,29.86,109.66
4/3/2023,10.68,39.2,23.68,29.91,76.87,142.07,108.42,47.46,25.12,169.95,48.69,49.05,53.31,121.41,26.11,31.8,12.82,144.43,14.1,34.1,29.76,143.51,52.56,17.66,158.15,135.64,34.78,26.33,51.27,19.04,65.06,40.38,65.18,12.99,11.54,102.91,26.79,52.33,44.75,5.01,1795.09,75.41,138.53,29.71,27.22,62.33,29.85,116.13
4/4/2023,10.48,38.1,23.9,29.25,76.31,137.86,106.3,47.33,25.09,169.04,44.78,48.18,52.74,119.62,26.16,32.48,12.75,141.65,13.69,33.23,29.43,140.92,52.44,17.48,153.5,125.82,34.47,25.73,50.17,18.43,65.04,39.14,64.83,12.86,11.03,98.28,26.84,50.46,44.11,5.1,1736.26,74.68,127.43,29.36,26.87,59.16,29.67,115.02
4/5/2023,10.5,37.99,24,29.04,76.72,140.82,107.75,47,25.41,169.88,46.63,48.53,53.53,120.37,26.33,32.6,12.76,142.98,13.54,33.06,29.45,142.21,52.45,17.71,156.44,132.71,34.64,25.7,50.49,18.22,65.99,39.38,64.57,12.89,11.14,104.43,27.02,50.7,44.43,5.12,1764.98,75.28,135.09,29.8,27.27,59.76,29.94,116.99
4/6/2023,10.47,38.07,23.48,28.51,75.28,138.83,106.26,46.52,24.94,167.65,46.25,48.57,52.91,119.37,26.38,32.12,12.51,140.55,13.43,32.71,29.38,140.88,52.37,17.71,153.15,128.68,34.58,25.52,50.47,18.01,65.69,39.08,63.04,12.84,10.95,102.84,26.36,49.62,44.05,5.02,1732.54,74.93,132.59,29.92,26.91,59.53,29.65,115.05
4/10/2023,10.49,39.09,24.11,28.83,77.54,141.4,105.95,47.23,25.65,168.29,46.78,49.29,53.39,120.37,26.54,33.39,12.51,143.19,13.51,33.09,29.36,142.33,52.06,17.75,153.49,131.24,34.49,25.76,52.13,18.34,66.07,39.36,64.09,13.01,11.14,104.96,27.1,50.04,43.94,5.28,1761.89,75.4,135.1,30.13,26.35,59.89,29.84,114.54
4/11/2023,10.6,39.92,24.33,29.15,78.87,144.18,106.75,47.81,25.96,169.22,47.96,49.35,54.3,121.68,26.67,33.42,12.56,145.17,13.48,33.73,29.59,144.8,52.05,17.89,152.3,132.19,34.63,26.11,52.31,18.5,66.43,39.31,64.37,13,11.31,106.46,27.34,51.14,44.55,5.28,1804.18,76.32,136.71,30.46,26.96,60.71,30.17,115.35
4/12/2023,10.52,39.64,23.88,29.25,79.05,142.84,107.53,47.52,25.76,169.82,46.34,49.13,54.54,122.31,26.83,32.65,12.62,145.01,13.59,33.59,29.17,146.17,52.17,17.82,153.01,130.22,34.65,25.62,51.84,18.72,66.25,38.44,64.84,13.03,11.26,106.03,27.02,51.98,45.18,5.15,1735.9,76.12,133.72,30.58,27.15,62.71,30.33,115.23
4/13/2023,10.57,40.47,23.78,29.45,80.53,142.32,109.04,46.73,25.74,172.09,46.37,49.03,55.22,121.29,26.83,32.87,12.76,145.74,13.55,33.81,29.27,147.25,52.32,17.77,152.48,130.48,34.77,25.66,52.37,18.83,66.77,38.68,64.77,13.11,11.3,106.27,27.14,51.89,45.36,5.16,1727.75,76.62,133.13,30.6,27.02,64,30.5,115.77
4/14/2023,10.62,40.78,23.89,29.15,80.98,144.81,108.5,46.66,25.76,172.44,46.44,48.95,55.7,121.61,26.98,33.14,12.84,146.74,13.56,33.63,29.24,148.93,52.72,17.81,152.8,130.78,34.91,25.73,52.8,18.82,67.03,38.55,64.48,13.14,11.23,106.26,27.26,52.48,45.65,5.16,1714.54,77.91,131.86,30.84,27,65.21,30.39,116.05
