,MSFT_BRK-B_p_val,MSFT_TSM_p_val,MSFT_LLY_p_val,MSFT_AVGO_p_val,MSFT_NVO_p_val,MSFT_PG_p_val,MSFT_KO_p_val,NVDA_NVO_p_val,AMZN_BRK-B_p_val,AMZN_TSM_p_val,AMZN_TSLA_p_val,AMZN_JPM_p_val,AMZN_PG_p_val,AMZN_CVX_p_val,META_BRK-B_p_val,META_NVO_p_val,META_MA_p_val,META_ASML_p_val,BRK-B_TSM_p_val,BRK-B_AVGO_p_val,BRK-B_NVO_p_val,BRK-B_ASML_p_val,BRK-B_CVX_p_val,TSM_LLY_p_val,TSM_AVGO_p_val,TSM_JPM_p_val,TSM_NVO_p_val,TSM_PG_p_val,TSM_KO_p_val,LLY_TSLA_p_val,LLY_AVGO_p_val,LLY_NVO_p_val,LLY_PG_p_val,TSLA_NVO_p_val,TSLA_UNH_p_val,TSLA_PG_p_val,AVGO_JPM_p_val,AVGO_NVO_p_val,AVGO_UNH_p_val,AVGO_SPY_p_val,AVGO_COST_p_val,AVGO_BAC_p_val,AVGO_MRK_p_val,AVGO_KO_p_val,JPM_SPY_p_val,JPM_MRK_p_val,JPM_CVX_p_val,NVO_V_p_val,NVO_UNH_p_val,NVO_SPY_p_val,NVO_XOM_p_val,NVO_MA_p_val,NVO_PG_p_val,NVO_ORCL_p_val,NVO_COST_p_val,NVO_ASML_p_val,NVO_HD_p_val,NVO_BAC_p_val,NVO_ABBV_p_val,NVO_CVX_p_val,WMT_CVX_p_val,V_MA_p_val,V_ABBV_p_val,V_CVX_p_val,UNH_MA_p_val,UNH_MRK_p_val,MA_ABBV_p_val,MA_CVX_p_val,HD_ABBV_p_val,BAC_CVX_p_val,BAC_KO_p_val,MRK_CVX_p_val,CVX_KO_p_val
0,0.539911601,0.857426472,0.134511257,0.784879453,0.00111108,0.693335276,0.616770528,0.200857081,0.409335024,0.975921656,0.701393621,0.492441505,0.794644342,0.627538818,0.955361109,0.702917,0.810497562,0.17190186,0.640510227,0.93523412,0.745253042,0.916788065,0.787140428,0.522780021,0.077069137,0.175348532,0.766406036,0.051865046,0.194135635,0.061737627,0.830866935,0.592394791,0.828707086,0.012468831,0.931212573,0.801761313,0.5548809,0.797485346,0.696703021,0.12837673,0.814263245,0.793171471,0.143742566,0.840408811,0.974104643,0.463649304,0.604025992,0.497490385,0.209267176,0.609068933,0.342217449,0.526931622,0.583111983,0.636256947,0.789387544,0.033235154,0.523003435,0.501895825,0.492622457,0.40205153,0.471160672,0.36746163,0.151648013,0.796885584,0.491486154,0.636488934,0.201736646,0.630733817,0.490703474,0.44642956,0.688663506,0.217681388,0.730958746
1,0.49247953,0.774701535,0.128709582,0.742114718,0.000929565,0.641561677,0.568535038,0.220081296,0.526921496,0.970147202,0.690881325,0.501578808,0.767737757,0.583857874,0.933062869,0.671131067,0.812686391,0.227660331,0.62492757,0.919618282,0.730196665,0.90924172,0.737929494,0.477987702,0.131818603,0.159335384,0.510455444,0.043740787,0.173330644,0.06467124,0.800729159,0.584033188,0.795834121,0.011822024,0.936943645,0.750727516,0.491030552,0.802340453,0.695651284,0.132851452,0.811171533,0.308935208,0.164002893,0.839897754,0.962753166,0.39982926,0.592550367,0.502831217,0.225449388,0.580785628,0.271712923,0.523087386,0.62235888,0.552408903,0.706995963,0.052923152,0.492827835,0.413758445,0.449939076,0.325228063,0.437601086,0.370343334,0.142089742,0.747694606,0.471720819,0.572375375,0.196498643,0.612783502,0.49435427,0.467845896,0.673669278,0.214020286,0.741555577
2,0.478382892,0.783237965,0.181171633,0.73652943,0.001129844,0.62724921,0.550569193,0.255947491,0.581053552,0.972674496,0.699830573,0.539448557,0.781356986,0.650300475,0.94066683,0.699209934,0.804049105,0.198238214,0.540352295,0.870067148,0.690663043,0.8612028,0.652544099,0.393405273,0.234221242,0.091519207,0.406102093,0.019313287,0.11577195,0.073786986,0.72984372,0.567544201,0.738429034,0.012741678,0.923704526,0.767845081,0.508292951,0.808163963,0.683540614,0.12460779,0.812664609,0.316890962,0.200817838,0.839023056,0.964328079,0.407796941,0.580426257,0.514599748,0.210277573,0.619683446,0.236623753,0.540446162,0.619228464,0.4878154,0.670702613,0.079450334,0.551188724,0.351170027,0.463535837,0.284032262,0.417589789,0.376915206,0.131970916,0.810904511,0.533790877,0.711489247,0.176397306,0.68840296,0.517184417,0.512366322,0.653521406,0.180997027,0.760036581
3,0.549491878,0.808713434,0.188462768,0.793141649,0.001732616,0.695927045,0.622020234,0.223432597,0.680025059,0.978076822,0.675077257,0.640060614,0.838780447,0.772610688,0.941489865,0.718776048,0.787749486,0.142979627,0.451539647,0.861520443,0.677536761,0.829434533,0.615700638,0.379274584,0.178877723,0.07220286,0.379830948,0.013117622,0.090653888,0.095609732,0.723653679,0.56308679,0.732934066,0.01780886,0.936614177,0.833604867,0.492716715,0.813967466,0.715942873,0.117065049,0.68418511,0.324739555,0.181977626,0.838777682,0.967599746,0.400896415,0.528590939,0.578433593,0.230102452,0.664179701,0.270213679,0.610764953,0.59628394,0.562285871,0.721367005,0.061184937,0.61632781,0.371727501,0.466869241,0.317997877,0.409286968,0.349448682,0.147660487,0.82521663,0.471541987,0.636149948,0.207865533,0.659315918,0.529193094,0.461700149,0.700000681,0.194405263,0.783831165
4,0.595375212,0.821398745,0.228967535,0.835968283,0.001918394,0.749381146,0.676224511,0.273336962,0.726766639,0.986305384,0.762740309,0.736875176,0.889420134,0.855527086,0.969100514,0.781912229,0.891943431,0.149414641,0.679755891,0.910695975,0.695814066,0.867609032,0.613237219,0.38724131,0.225923703,0.488964468,0.372645035,0.010674082,0.093902187,0.099413001,0.756689304,0.554814747,0.757436787,0.015563527,0.93681937,0.836281898,0.500160066,0.811463005,0.693044189,0.117490783,0.683819977,0.745942825,0.207291817,0.830624395,0.970298567,0.405749167,0.495944227,0.580113622,0.237984688,0.677018892,0.339110225,0.607895083,0.587620888,0.551712532,0.728929088,0.0632362,0.612340916,0.45817277,0.460076391,0.397174376,0.428304432,0.385833764,0.144117516,0.825053543,0.420344072,0.528266072,0.205743111,0.653735507,0.450727087,0.4422435,0.728157334,0.256985229,0.777874808
5,0.677388737,0.881795824,0.350099823,0.905474997,0.002003816,0.839467735,0.765435004,0.224399589,0.735258535,0.991021212,0.715425999,0.752287311,0.911470255,0.870636635,0.963287476,0.71818982,0.846670895,0.167416807,0.86185728,0.947014148,0.720884817,0.899491208,0.659575385,0.45574444,0.30750472,0.619512643,0.422337495,0.015543283,0.162660569,0.13574014,0.743333343,0.562755381,0.735038812,0.014842033,0.952156792,0.88622708,0.622588959,0.814958302,0.694672144,0.121745015,0.669998794,0.457121074,0.231774581,0.848661548,0.982555465,0.427489967,0.463870318,0.638565487,0.282246691,0.757752593,0.40027714,0.679454532,0.731811831,0.704221021,0.762387399,0.040916456,0.678233509,0.542844634,0.4802399,0.479533441,0.413420509,0.364545828,0.143265501,0.820956818,0.329624667,0.550677035,0.21219989,0.689043635,0.418429789,0.509549831,0.705587461,0.237068022,0.76756906
6,0.450262688,0.794402196,0.270321117,0.823408638,0.001680276,0.688201157,0.574471763,0.237441817,0.423721532,0.989230504,0.680231091,0.447816056,0.812804902,0.677530587,0.927469421,0.665558075,0.860014326,0.164271894,0.801730515,0.962890546,0.809137296,0.945299292,0.764914877,0.495573823,0.066328538,0.602943658,0.495599549,0.011769196,0.213690772,0.19128852,0.596197069,0.569436258,0.617741722,0.020681621,0.966991933,0.810484042,0.496472703,0.807027084,0.708399887,0.128074084,0.804807146,0.369335867,0.245789092,0.808263709,0.933923216,0.384075262,0.482779779,0.594969594,0.317024096,0.672051021,0.239840833,0.629669485,0.530041222,0.49845018,0.714528727,0.042228565,0.592629479,0.351768174,0.477013687,0.303226733,0.39126026,0.401372029,0.134411472,0.775048134,0.195948149,0.400163478,0.211618879,0.616913242,0.38951589,0.461420423,0.732312199,0.234340527,0.76188083
7,0.4083297,0.798028536,0.322620671,0.809016358,0.00179332,0.651423408,0.53291929,0.263017759,0.380461644,0.986072635,0.703827325,0.383803702,0.779032896,0.630752325,0.933220467,0.687828458,0.917934762,0.182555793,0.869286025,0.964278772,0.805125377,0.94024505,0.810627781,0.456738621,0.120744703,0.658229085,0.472951945,0.005682978,0.175882338,0.170560137,0.584058843,0.578616646,0.608779875,0.016167336,0.962636952,0.746448651,0.514750197,0.808755427,0.67834267,0.14073992,0.81629851,0.37903542,0.362731947,0.84925629,0.9328431,0.381590365,0.555231798,0.548258095,0.320097163,0.646925591,0.223101456,0.58326594,0.509188315,0.473904223,0.74764538,0.048031178,0.543743804,0.31006637,0.459305614,0.278396737,0.371476871,0.39822688,0.13890162,0.772860914,0.116878462,0.359753206,0.207601161,0.619996328,0.378165713,0.509250178,0.736390929,0.381518076,0.730760276
8,0.452391828,0.822073856,0.402225447,0.829041394,0.00158339,0.693715361,0.57762089,0.27442425,0.443644415,0.987761195,0.670365683,0.478330546,0.827885517,0.692152395,0.939512622,0.699110662,0.969757754,0.186487004,0.811851214,0.969034261,0.763682098,0.927329563,0.801416527,0.485645522,0.195443843,0.207176541,0.496500157,0.006451986,0.19466882,0.274984541,0.562838253,0.624613126,0.593106767,0.018009511,0.967969743,0.812237229,0.597365522,0.821439567,0.690765064,0.141455333,0.833843456,0.468856031,0.595822977,0.857676364,0.933899069,0.404854835,0.590388804,0.559945353,0.360877042,0.640282893,0.279868742,0.602632806,0.492682142,0.458816699,0.786413256,0.04422354,0.522528228,0.370061075,0.442910818,0.339904367,0.373652906,0.401191385,0.157181155,0.803000591,0.125149888,0.448371212,0.242519797,0.63286234,0.313892413,0.459990516,0.638771428,0.282453586,0.680261441
9,0.559371807,0.884510733,0.131193257,0.881722647,0.002225848,0.795166373,0.683215723,0.255175905,0.525402641,0.981937945,0.703489342,0.603189756,0.868598094,0.797553681,0.949075067,0.721720514,0.944369444,0.186973165,0.809357112,0.977532507,0.762850311,0.926756943,0.833535467,0.504721159,0.085565339,0.259995605,0.544320675,0.005202632,0.206715462,0.045500689,0.846216224,0.201108633,0.808069945,0.017297186,0.965906485,0.84065179,0.657893677,0.834855619,0.684831326,0.13946086,0.837443363,0.51081257,0.479638412,0.854938201,0.958446725,0.411754695,0.593194674,0.561327775,0.308635327,0.610441014,0.259712616,0.552233663,0.424966473,0.386362819,0.732130575,0.040507337,0.455817177,0.333838254,0.38661401,0.320806538,0.385429775,0.316812657,0.185672809,0.799452248,0.163466367,0.38154597,0.247475724,0.681354902,0.345637907,0.421447951,0.658668146,0.251785822,0.67204539
