url,title,views,hashtags
https://www.tiktok.com/@cryptomasun/video/7342557510231969029,A lot of people are about to do well in #crypto in an upcoming bull #bitcoin #money ,629900,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7201616641099156741,The 3 BEST ways to make BIG money in #crypto #cryptotrading #cryptonews #cryptoinvesting ,323700,"['crypto', 'cryptotrading', 'cryptonews', 'cryptoinvesting']"
https://www.tiktok.com/@cryptomasun/video/7390862704992472325,Avoid this in crypto! No one has your best interest in mind when creating tokens. 🤫 High IQ people understand this!  #crypto #bitcoin #money ,9502,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7390861992753466629,,19100,[]
https://www.tiktok.com/@cryptomasun/photo/7390025320251821317,"Thank you all for supporting the journey through crypto, very excited to find more hidden gems and continue to tap into abundance with you all  ONLY BIG THINGS ON THE WAY… 🧪🪼 @megbzk @Jaden | AirBnB Tours | Tips ",10800,"['/@megbzk', '/@jadenversluis']"
https://www.tiktok.com/@cryptomasun/video/7387837857177668870,"Those who understand what this guy is saying, may get rich with crypto!  #crypto #bitcoin #money ",83900,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7385669405440625926,Just a fun video on a new investment we made lmao  NOT SPONSORED (FOR THE MORONS!) @megbzk #crypto #bitcoin #investing ,38700,"['/@megbzk', 'crypto', 'bitcoin', 'investing']"
https://www.tiktok.com/@cryptomasun/video/7385615511763078405,,50900,[]
https://www.tiktok.com/@cryptomasun/video/7385614818947960069,Solana ecosystem is going crazy! Here is one of the projects I have invested in for my own portfolio! #crypto #bitcoin #money #greenscreen ,37100,"['crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7384499591082675462,Crypto Portfolio Strategy 101  #crypto #bitcoin #money ,42200,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7384092582021696773,Who should you trust in crypto? High IQ’s make it to the end of the vid 🧐   #crypto #bitcoin #money #millionaire,168200,"['crypto', 'bitcoin', 'money', 'millionaire']"
https://www.tiktok.com/@cryptomasun/video/7383496479299718406,REVEALING my top 3 crypto holdings! SHOCKING!  #crypto #bitcoin #money ,31400,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7382661005073059078,"Where I get my memecoin alpha & plays, the newest addition to our arsenal! #crypto #memecoin #bitcoin #millionaire ",182700,"['crypto', 'memecoin', 'bitcoin', 'millionaire']"
https://www.tiktok.com/@cryptomasun/video/7381533027547106566,The SEC head of crypto has officially resigned!  #crypto #bitcoin #money #xrp  ,1594,"['crypto', 'bitcoin', 'money', 'xrp']"
https://www.tiktok.com/@cryptomasun/video/7381500143410875654,Be careful everyone. The crypto space is very grey still. #crypto #bitcoin #money ,15300,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7381230797832916229,My thoughts on the recent #HBAR price action going down! Listen closely!  #crypto #bitcoin #money #greenscreen ,28100,"['hbar', 'crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7381230650671516934,Keys to getting rich in the #crypto market!  #millionairemindset ,56300,"['crypto', 'millionairemindset']"
https://www.tiktok.com/@cryptomasun/video/7381230215776734469,"My most recent memecoin purchase! High risk, high reward. Lets see what happens.  Safe non-ruggable launchpads are needed in the space! #crypto #bitcoin #money #greenscreen ",19000,"['crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7379319992845683973,The sad truth about crypto! GET IN & GET OUT!  #crypto #bitcoin #money ,33700,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7379319821776833798,Exposing the entire crypto market #greenscreen ,194300,['greenscreen']
https://www.tiktok.com/@cryptomasun/video/7378614089435614470,Can #XRP Still Do A 100X?!  CryptoMason opinion as of June 2024! A lot has changed since 2021 Mason  #crypto #bitcoin #money ,65400,"['xrp', 'crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7378613808157314310,"Quant Update, is $1,000 coming soon?! #crypto #bitcoin #money ",55800,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7378210573214895365,Found another hidden gem crypto while researching… I don’t care if you buy it or not.  #crypto #bitcoin #money,28200,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7378203763393170694,You can’t even sell your crypto even if you make a ton of money?! How to avoid this! 🤔 Make sure you learn crypto for beginners before expirementing with memecoins! #crypto #bitcoin #money#greenscreen ,125300,"['crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7377488288480890117,What is the next crypto narrative  This is one of my ideas and recent plays! #crypto #bitcoin #money #greenscreen #greenscreenvideo ,19400,"['crypto', 'bitcoin', 'money', 'greenscreen', 'greenscreenvideo']"
https://www.tiktok.com/@cryptomasun/video/7377487369718467846,HBAR ranks number 1 on active developers for 30 days! Exposing their marketing! #crypto #bitcoin #money  ,31500,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7376402244595420421,Must listen rant about crypto!  The key to crypto is to be OPEN MINDED! #crypto #bitcoin #money ,202800,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7376400831345626373,Very interesting new add to my crypto portfolio! Do your own research  #crypto #bitcoin #money #greenscreen ,35100,"['crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7376396853874560262,We just bought more of this one crypto token!  #crypto #bitcoin #money @megbzk ,72000,"['crypto', 'bitcoin', 'money', '/@megbzk']"
https://www.tiktok.com/@cryptomasun/video/7373026109216050438,One of the biggest sleeping giant cryptos on the market.  Do your own research! At your own risk! #crypto #bitcoin #money ,163900,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7372708347037977861,Best crypto tip from 6+ years in the game! #crypto #bitcoin #money ,11900,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7372684817550347525,"I just bought a brand new Solana based token, backed by Solana! NO FINANCIAL ADVICE! #crypto #bitcoin #money ",60300,"['crypto', 'bitcoin', 'money']"
https://www.tiktok.com/@cryptomasun/video/7372641897027833094,This is probably going to come true in the next year or two. Position accordingly  #XRP #Crypto #Bitcoin #money #greenscreen ,31500,"['xrp', 'crypto', 'bitcoin', 'money', 'greenscreen']"
https://www.tiktok.com/@cryptomasun/video/7372248951577251077,You MUST watch this bullish #crypto video! Do you hold ALGO?! #bitcoin #money ,55100,"['crypto', 'bitcoin', 'money']"
