date,AEO,ANF,BKE,BOOT,BURL,CAL,CRI,FL,GES,GPS,LULU,NKE,ROST,TJX,UAA,URBN
6/11/2020,11.45,11.08,15.62,23.13,203.28,7.47,83.39,29.31,8.64,10.14,308.12,95.17,94.37,52.66,9.47,17.49
6/12/2020,11.97,11.14,15.76,23.01,203.53,7.73,84.21,29.56,9.78,10.54,296.36,96.43,92.48,52.46,9.7,17.43
6/15/2020,11.99,11.45,15.51,22.84,206.08,8.59,84.54,29.22,9.71,10.49,303.05,97.84,91.33,52.6,9.86,17.23
6/16/2020,12.42,12.32,16.5,24.36,213.74,9.25,86.9,30.03,10.6,11.38,310.61,99.04,97.62,55.55,10.36,18.35
6/17/2020,11.96,11.38,16.02,22.88,212.56,8.53,86.32,29.04,10.04,10.76,303.69,99.21,96.68,54.54,9.81,17.41
6/18/2020,12.34,11.46,16.18,23.09,209.02,8.51,85.55,29.25,10.07,10.91,302.98,98.45,92.38,53.45,9.78,17.95
6/19/2020,11.54,10.65,15.46,21.8,206.67,7.99,84.26,28.09,9.87,10.66,297.38,95.78,93.31,52.64,9.51,16.92
6/22/2020,11.91,10.89,16.18,22.59,204.81,8.09,85.07,29.52,10.39,11.54,304.69,99.51,90.68,52.82,9.51,17.28
6/23/2020,12.07,10.74,16.26,22.08,209.45,8.45,84.35,30.14,10.26,11.49,301.16,101.92,91.46,53.25,9.86,17.17
6/24/2020,11.29,10.07,15.62,19.85,203.61,7.88,80.9,28.79,9.59,10.42,295.22,100.08,87.05,51.53,9.47,16.18
6/25/2020,11.08,9.86,15.15,20.33,204.51,7.97,79.08,29.35,9.37,10.16,295.13,101.4,84.27,50.87,9.6,15.81
6/26/2020,10.54,9.81,14.82,19.66,194.43,7.59,76.64,27.1,9.31,12.07,289.53,93.67,83.75,49.54,9.11,14.7
6/29/2020,11.06,10.47,15.5,21.91,198.03,8,79.33,29.43,9.65,12.51,294.35,95.87,85.24,50.77,9.83,15.03
6/30/2020,10.9,10.64,15.68,21.56,196.93,8.34,80.7,29.16,9.67,12.62,312.01,98.05,85.24,50.56,9.74,15.22
7/1/2020,10.82,10.59,15.49,21.02,195.72,7.92,81.54,28.86,9.7,12.47,308.62,97.4,87.19,51.18,9.57,15.06
7/2/2020,11.02,10.83,16.05,21.11,192.32,8.07,80.87,29.4,9.72,12.28,304.77,98.43,88.58,51.75,9.58,15.34
7/6/2020,11.32,11.04,16.81,21.15,192.99,7.95,81.73,29.62,9.69,12.51,314.35,99.95,90.14,52.64,9.91,16.61
7/7/2020,10.72,10.31,16.21,19.51,183.08,7.4,80.55,28.52,9.31,11.97,306.74,97.07,86.38,50.8,9.5,16.5
7/8/2020,10.85,10.46,16.88,20.28,183.54,7.3,81.07,28.86,9.72,12.32,309.88,98.84,86.02,50.87,9.61,17.53
7/9/2020,10.29,9.9,16.09,19.46,178.9,6.77,79.78,27.99,9.14,11.77,315.08,96.99,84.72,49.99,9.18,16.76
7/10/2020,10.66,9.75,16.21,20.03,178.48,7.19,82.5,28.84,8.93,11.65,314.39,97.99,86.79,51.07,9.52,16.5
7/13/2020,10.41,9.86,16.03,18.68,175,6.98,82.54,27.99,9.14,11.18,305.15,96.46,84.82,50.37,9.39,16.24
7/14/2020,10.55,10.06,15.96,18.62,171.21,6.82,85.35,27.52,9.38,11.15,308.32,96.76,80.17,49.86,9.47,15.96
7/15/2020,11.1,10.45,16.7,20.25,181.59,7.56,87.32,29.15,10.01,12.57,312.51,98.54,83.66,52.63,10.31,17.27
7/16/2020,11.41,10.51,16.76,20.46,190.14,7.7,88.42,28.89,10.34,13.07,313.08,97.26,84.56,53.51,10.36,16.89
7/17/2020,10.88,9.97,16.07,19.29,192.61,7.42,86.52,27.72,9.75,12.89,316.82,96.28,85.79,52.91,10.2,16.39
7/20/2020,10,9.38,15.24,18.54,187.77,6.91,85.58,27.55,9.24,12.41,326.84,95.65,84.79,51.74,9.91,15.26
7/21/2020,10.35,9.86,15.83,19.62,189.53,7.53,86.52,30.22,10.93,12.77,325.39,98.36,86.51,53.07,10.5,16.01
7/22/2020,10.09,9.97,15.63,19.62,188.53,7.53,86.95,29.69,10.7,12.83,326.72,98.91,88.78,53.44,10.44,15.91
7/23/2020,10.12,10.22,15.58,19.79,187.52,7.72,85.46,30.94,10.97,13.04,320.01,98.3,87.74,53.39,10.87,16.04
7/24/2020,9.66,9.84,15.11,18.86,186.92,7.32,89.55,29.82,10.55,12.62,321.5,98.43,86.16,52.89,10.91,15.42
7/27/2020,9.58,9.69,14.88,18.35,183.72,6.83,87.98,29.87,10.53,12.87,331.55,97.21,85.12,52.08,11.2,15.41
7/28/2020,9.8,10.04,15.62,18.3,182.27,6.76,87.47,30.11,10.67,13.06,322.64,96.27,85.88,51.78,11.3,15.74
7/29/2020,10.65,10.33,16.47,20.05,186.55,6.98,83.63,30.97,11.14,14.15,325.74,96.97,88.43,52.6,11.61,17.33
7/30/2020,10.21,9.86,16.26,19.11,187.51,6.58,80.85,30.61,10.5,13.63,323.66,96.82,88.95,51.6,11.45,16.25
7/31/2020,10,9.63,16.03,19.36,188,6.31,78.72,29.39,10.34,13.37,325.59,97.61,89.67,51.99,10.52,16.54
8/3/2020,10.22,9.42,15.71,19.64,187.5,6.13,78.01,27.24,11.14,13.11,328.59,98.33,87.88,51.89,9.67,17.61
8/4/2020,10.93,9.55,17.23,20.32,183.48,6.39,78.53,27.56,11.61,13.45,328.21,97.33,88.38,53.28,9.93,18.39
8/5/2020,10.95,9.71,16.76,22.42,183.62,6.58,80.86,27.66,11.99,13.88,340.42,100.94,88.68,53.54,10.61,18.97
8/6/2020,10.6,9.48,16.37,22.38,178.57,6.22,78.07,26.96,11.92,13.67,339.18,100.45,86.97,53.41,10.14,19.145
8/7/2020,10.89,9.9,17.58,23.63,180.19,6.62,80.42,27.48,12.42,14.08,342.12,101.86,89.44,55.45,10.33,19.31
8/10/2020,11.24,10.5,17.6,23.57,182.14,7.22,83.66,29.63,12.86,14.64,344.32,105.41,92.51,56.52,10.71,19.45
8/11/2020,11.56,10.95,17.66,24.97,189.21,7.53,85.03,30.3,12.75,15.02,335.37,105.12,93.6,57.51,10.98,19.42
8/12/2020,12.21,10.81,17.57,24.84,192.65,7.7,84.63,30.15,12.85,15.15,345.33,105.22,94.07,57.73,11.01,19.19
8/13/2020,11.78,10.7,17.33,25.15,192.4,7.37,83.55,29.24,12.46,14.83,350.29,106.52,93.07,57.11,10.84,19.36
8/14/2020,11.68,10.82,17.62,25.35,193.8,7.44,84.13,28.73,12.66,15.08,349.12,106.43,94.06,57.87,10.74,20.04
8/17/2020,11.96,11.14,17.77,25.67,203.24,7.43,84.09,28.4,12.4,15.39,354.87,105.66,97.13,59.41,10.47,19.795
8/18/2020,11.33,10.36,16.9,24.7,199.95,6.92,81.41,27.2,12.03,14.96,358.78,106.97,94.3,57.45,10.24,19.425
8/19/2020,11.46,10.32,16.82,24.99,195.48,6.88,79.93,27.5,11.88,14.88,360.84,108.39,90.26,54.36,9.98,19.7
8/20/2020,11.2,10.06,16.37,25.25,191.2,6.6,76.5,27.19,11.41,14.58,366.42,108.01,87.46,51.65,9.76,18.84
8/21/2020,10.74,10.11,19.45,25.35,192.75,6.43,76.37,27.57,11,14.43,368.75,109.75,87.22,51.68,9.73,18.85
8/24/2020,11.16,10.58,18.1,26.85,194.21,6.69,79.11,29.17,11.74,15.5,376.31,111.83,89.31,53.41,10.24,20.315
8/25/2020,11.05,10.84,18.51,27.47,194.56,6.89,79.69,29.66,11.93,17.11,378.5,111.51,91.25,53.16,10.17,20.8
8/26/2020,11.4,11.13,19.28,27.37,196.43,6.99,80.52,29.14,11.27,17.03,381.5,111.53,89.86,53.26,9.88,25.25
8/27/2020,12,12.03,19.28,27.21,201.94,7.21,81.64,29.77,11.85,17.38,374.84,110.84,90.86,53.67,9.92,24.05
8/28/2020,12.34,12.31,18.98,27.72,202.5,7.76,82.95,30.39,12.07,17.54,377.48,112.29,93.83,55.09,10.15,23.81
8/31/2020,12.61,13.01,18.74,28.23,196.93,7.81,79.62,30.33,11.5,17.39,375.67,111.89,91.08,54.79,9.81,23.54
9/1/2020,12.78,12.96,19.12,28.56,201.63,8.75,78.31,30.74,12.01,17.77,391.16,114.84,91.27,55.27,10.25,23.435
9/2/2020,13.01,12.7,20.1,30.24,210.84,10.35,80.26,32.41,13.4,18.39,398.29,116.8,94.56,56.73,10.39,23.81
9/3/2020,12.61,12.69,20.07,29.68,209.5,10.02,80.11,31.85,13.36,17.68,377.87,112.85,93.79,55.52,10.43,23.85
9/4/2020,12.86,13.6,20.57,29.81,211.83,9.86,80.91,32.27,12.79,17.52,361.41,112.4,93.32,55.18,10.43,24.41
9/8/2020,13.2,14.23,20.66,28.44,214.81,9.48,77.99,32.73,12.59,17.3,349.8,112.72,93.59,55.3,10.95,24.72
9/9/2020,13.41,14.54,20.83,28.23,212.19,9.28,81.03,33.66,12.27,17.47,323.93,114.9,93.47,54.76,10.59,24.8
9/10/2020,13.18,14.33,20.53,28.28,205.18,9.07,83.2,33.13,11.9,16.99,320,114.79,90.71,54.11,10.74,23.31
9/11/2020,13.79,14.26,20.76,28.67,203.46,9.16,83.16,34.2,11.66,16.64,313.39,118,90.22,54.15,11.32,22.64
9/14/2020,14.83,14.98,21.97,29.7,206.45,9.88,85.72,35.87,12.87,17.31,313.82,119.28,93.77,55.47,11.72,23.695
9/15/2020,14.5,15.2,21.3,29.12,212.2,10.48,85.74,35.84,13.84,16.87,315.49,119.27,93.92,56.86,11.66,23.18
9/16/2020,15.39,15.49,21.93,29.68,217.14,11.26,89.39,36.54,14.22,17.24,309.99,118.59,96.02,57.32,12.23,23.17
9/17/2020,14.89,15.35,21.72,29.44,213.59,10.91,88.22,35.95,13.9,16.9,303.11,116.36,93.88,55.94,11.97,22.61
9/18/2020,14.64,15.27,21.56,28.8,209.73,11,86.99,35.79,13.73,16.79,294.76,114.66,92.27,56.02,11.52,21.9
9/21/2020,14.14,14.69,20.39,27.47,207,10.34,86.79,34.44,12.55,16.4,295.56,113.37,90.42,54.17,10.69,21.02
9/22/2020,13.98,14.62,20.61,28.19,205.68,10.51,88.57,34.58,12.67,16.71,313.6,116.87,90.62,53.88,10.92,21.1
9/23/2020,14.14,14.58,20.13,27.38,196.97,9.93,87.4,33.11,12.01,16.55,316.77,127.11,87.74,52.87,11.43,20.55
9/24/2020,14.04,14.46,20.37,26.69,194.08,9.64,86.75,32.87,11.87,16.32,315.58,124.75,86.68,52.83,11.01,20.43
9/25/2020,14.34,14.61,20.31,27.62,199.36,9.44,87.33,32.8,11.56,16.29,315.35,124.23,87.93,53.18,11.16,20.41
9/28/2020,14.84,14.76,20.79,27.48,206.95,9.66,88.69,32.39,11.93,17.2,318.73,124.32,92.26,55.6,11.43,22.09
9/29/2020,13.99,13.96,20.28,26.83,204.75,9.42,85.62,32.11,11.37,16.71,323.67,126.35,91.03,54.16,11.08,20.89
9/30/2020,14.81,13.93,20.39,28.14,206.09,9.56,86.58,33.03,11.62,17.03,329.37,125.54,93.32,55.65,11.23,20.81
10/1/2020,14.92,14.65,21.22,29.38,208.54,9.8,87.55,34.11,12.14,17.87,341.05,126.64,94.83,57.08,11.86,21.7
10/2/2020,15.38,15.2,21.47,30.93,216.95,10.26,88.58,35.63,12.78,18.35,332.67,126.64,96.22,57.63,12.06,22.67
10/5/2020,15.46,15.73,23.2,30.63,217.65,10.17,86.39,37.2,13.79,19.23,337.87,127.91,97.08,57.52,12.16,23.59
10/6/2020,14.86,15.54,22.87,30.61,211.45,9.68,83.88,36.55,13.22,18.63,329.29,127.65,94.64,56.61,11.69,22.82
10/7/2020,15.76,16.51,23.8,32.61,219.02,9.93,86.53,37.54,13.83,19.78,338.91,130.06,97.14,58.36,12.17,24.21
10/8/2020,15.46,16.88,23.81,32.29,218.45,10.17,87.63,38.34,13.77,19.83,337.94,129.71,97.86,58.3,12.6,23.47
10/9/2020,15.31,16.37,23.53,32.54,218.95,10.07,88.96,38.03,14.07,19.81,346.46,130.98,98.41,58.19,12.55,23.595
10/12/2020,15.01,16.55,23.37,33.85,216.51,9.85,86.86,37.59,13.64,19.28,348,129.46,98.64,57.97,12.73,23.54
10/13/2020,14.79,16.3,23.63,33.15,212.07,9.38,84.42,38.2,13.54,19.34,356.29,129.2,97.64,57.39,12.82,23.44
10/14/2020,14.99,16.47,23.47,32.82,210.53,9.48,83.86,38.14,13.21,19.61,352.07,127.66,96.29,57.41,12.54,23.71
10/15/2020,15.37,16.6,23.6,32.54,213.93,9.69,83.81,38.35,13.42,19.86,353.61,129,96.19,57.41,12.92,24.47
